nome periodico,info periodico,link pdf,link xml
Boletim de Psicologia,Bol. psicol vol.67 no.146 São Paulo jan. 2017,http://pepsic.bvsalud.org/pdf/bolpsi/v67n146/v67n146n11.pdf,http://pepsic.bvsalud.org/scieloOrg/php/articleXML.php?pid=S0006-59432017000100011&lang=pt
Boletim de Psicologia,Bol. psicol vol.66 no.144 São Paulo jan. 2016,http://pepsic.bvsalud.org/pdf/bolpsi/v66n144/v66n144a11.pdf,http://pepsic.bvsalud.org/scieloOrg/php/articleXML.php?pid=S0006-59432016000100011&lang=pt
Boletim de Psicologia,Bol. psicol vol.66 no.145 São Paulo jul. 2016,http://pepsic.bvsalud.org/pdf/bolpsi/v66n145/v66n145a10.pdf,http://pepsic.bvsalud.org/scieloOrg/php/articleXML.php?pid=S0006-59432016000200010&lang=pt
Boletim de Psicologia,Bol. psicol vol.65 no.142 São Paulo jan. 2015,http://pepsic.bvsalud.org/pdf/bolpsi/v65n142/v65n142a11.pdf,http://pepsic.bvsalud.org/scieloOrg/php/articleXML.php?pid=S0006-59432015000100011&lang=pt
Boletim de Psicologia,Bol. psicol vol.65 no.143 São Paulo jul. 2015,http://pepsic.bvsalud.org/pdf/bolpsi/v65n143/v65n143a10.pdf,http://pepsic.bvsalud.org/scieloOrg/php/articleXML.php?pid=S0006-59432015000200010&lang=pt
Boletim de Psicologia,Bol. psicol vol.64 no.140 São Paulo jun. 2014,http://pepsic.bvsalud.org/pdf/bolpsi/v64n140/v64n140a09.pdf,http://pepsic.bvsalud.org/scieloOrg/php/articleXML.php?pid=S0006-59432014000100009&lang=pt
Boletim de Psicologia,Bol. psicol vol.64 no.141 São Paulo dez. 2014,http://pepsic.bvsalud.org/pdf/bolpsi/v64n141/v64n141a11.pdf,http://pepsic.bvsalud.org/scieloOrg/php/articleXML.php?pid=S0006-59432014000200011&lang=pt
Boletim de Psicologia,Bol. psicol vol.63 no.138 São Paulo jun. 2013,http://pepsic.bvsalud.org/pdf/bolpsi/v63n138/v63n138a10.pdf,http://pepsic.bvsalud.org/scieloOrg/php/articleXML.php?pid=S0006-59432013000100010&lang=pt
Boletim de Psicologia,Bol. psicol vol.63 no.139 São Paulo dez. 2013,http://pepsic.bvsalud.org/pdf/bolpsi/v63n139/v63n139a11.pdf,http://pepsic.bvsalud.org/scieloOrg/php/articleXML.php?pid=S0006-59432013000200011&lang=pt
Boletim de Psicologia,Bol. psicol vol.62 no.136 São Paulo jun. 2012,http://pepsic.bvsalud.org/pdf/bolpsi/v62n136/v62n136a11.pdf,http://pepsic.bvsalud.org/scieloOrg/php/articleXML.php?pid=S0006-59432012000100011&lang=pt
Boletim de Psicologia,Bol. psicol vol.62 no.137 São Paulo dez. 2012,http://pepsic.bvsalud.org/pdf/bolpsi/v62n137/v62n136a10.pdf,http://pepsic.bvsalud.org/scieloOrg/php/articleXML.php?pid=S0006-59432012000200010&lang=pt
Boletim de Psicologia,Bol. psicol vol.61 no.134 São Paulo jun. 2011,http://pepsic.bvsalud.org/pdf/bolpsi/v61n134/v61n134a12.pdf,http://pepsic.bvsalud.org/scieloOrg/php/articleXML.php?pid=S0006-59432011000100012&lang=pt
